lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_at_minus_1v_a,current_at_0v_a,current_at_plus_1v_a,wavelength_start_nm,wavelength_stop_nm,point_count,il_min_db,il_max_db,il_mean_db,extinction_ratio_db,wavelength_at_min_il_nm,wavelength_at_max_il_nm,source_file
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,-2.0,1.17707e-10,1.269242e-10,1.333762e-10,1279.9817,1339.9911,6000,-43.088069915771484,-5.978619575500488,-16.919292065461477,37.109450340270996,1332.7652,1297.5665,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,-1.5,1.17707e-10,1.269242e-10,1.333762e-10,1279.9818,1339.9913,6000,-43.17188262939453,-5.972321033477783,-16.936006235281628,37.19956159591675,1332.7828,1297.5636,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,-1.0,1.17707e-10,1.269242e-10,1.333762e-10,1279.9821,1339.9905,6000,-43.09074783325195,-5.967703342437744,-16.929602536678313,37.12304449081421,1332.774,1297.5629,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,-0.5,1.17707e-10,1.269242e-10,1.333762e-10,1279.9821,1339.9947,6000,-43.038368225097656,-5.973063945770264,-16.927767154455186,37.06530427932739,1332.7922,1297.5603,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,0.0,1.17707e-10,1.269242e-10,1.333762e-10,1279.9816,1339.9924,6000,-43.14933776855469,-5.977412223815918,-16.886995135943096,37.17192554473877,1332.7736,1297.4322,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,0.5,1.17707e-10,1.269242e-10,1.333762e-10,1279.9825,1339.9903,6000,-43.07388687133789,-5.975316047668457,-16.89275283940633,37.098570823669434,1332.7823,1297.5612,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190531_151815,MZMOTE_LULAB_380_500,-2.0,1.184192e-10,1.304854e-10,1.283487e-10,1279.9816,1339.9876,6000,-44.33479690551758,-6.569557189941406,-18.21744540262222,37.76523971557617,1337.5815,1302.3277,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190531_151815,MZMOTE_LULAB_380_500,-1.5,1.184192e-10,1.304854e-10,1.283487e-10,1279.9817,1339.9902,6000,-44.30330276489258,-6.553853511810303,-18.211500639359155,37.749449253082275,1337.5719,1302.2689,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190531_151815,MZMOTE_LULAB_380_500,-1.0,1.184192e-10,1.304854e-10,1.283487e-10,1279.9814,1339.9895,6000,-44.258445739746094,-6.577085971832275,-18.206132513443627,37.68135976791382,1337.5812,1302.3275,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190531_151815,MZMOTE_LULAB_380_500,-0.5,1.184192e-10,1.304854e-10,1.283487e-10,1279.982,1339.99,6000,-44.31053924560547,-6.57411527633667,-18.192748490015667,37.7364239692688,1337.5434,1302.3272,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190531_151815,MZMOTE_LULAB_380_500,0.0,1.184192e-10,1.304854e-10,1.283487e-10,1279.9818,1339.9911,6000,-44.35367202758789,-6.574875831604004,-18.175243728081384,37.77879619598389,1337.6213,1302.3173,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190531_151815,MZMOTE_LULAB_380_500,0.5,1.184192e-10,1.304854e-10,1.283487e-10,1279.9821,1339.992,6000,-44.3288688659668,-6.563413619995117,-18.201168661673865,37.76545524597168,1337.572,1302.3276,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,3,-1,20190531_151815,MZMOTE_LULAB_380_500,-2.0,1.196762e-10,1.302759e-10,1.271337e-10,1279.9789,1339.9899,6000,-44.81504440307617,-7.299173355102539,-18.82823504892985,37.51587104797363,1335.7055,1300.9296,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,3,-1,20190531_151815,MZMOTE_LULAB_380_500,-1.5,1.196762e-10,1.302759e-10,1.271337e-10,1279.9788,1339.9889,6000,-44.95891571044922,-7.324894428253174,-18.827735519011814,37.634021282196045,1335.7056,1300.9781,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,3,-1,20190531_151815,MZMOTE_LULAB_380_500,-1.0,1.196762e-10,1.302759e-10,1.271337e-10,1279.9789,1339.9886,6000,-44.83021545410156,-7.320034980773926,-18.829960197289786,37.51018047332764,1335.6216,1300.948,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,3,-1,20190531_151815,MZMOTE_LULAB_380_500,-0.5,1.196762e-10,1.302759e-10,1.271337e-10,1279.9791,1339.9878,6000,-44.83507537841797,-7.302976131439209,-18.805657638470333,37.53209924697876,1335.6439,1300.9275,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,3,-1,20190531_151815,MZMOTE_LULAB_380_500,0.0,1.196762e-10,1.302759e-10,1.271337e-10,1279.9792,1339.9886,6000,-44.870018005371094,-7.318134784698486,-18.806752235889434,37.55188322067261,1335.6647,1300.9975,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,3,-1,20190531_151815,MZMOTE_LULAB_380_500,0.5,1.196762e-10,1.302759e-10,1.271337e-10,1279.9789,1339.9885,6000,-44.869956970214844,-7.298030853271484,-18.802348785003026,37.57192611694336,1335.6645,1300.9768,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-3,20190531_151815,MZMOTE_LULAB_380_500,-2.0,1.205979e-10,1.288515e-10,1.252065e-10,1279.9785,1339.9892,6000,-45.06328201293945,-7.851101398468018,-18.789924897591273,37.212180614471436,1336.1107,1291.959,"data\HY202103\D24\20190531_151815\HY202103_D24_(-3,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-3,20190531_151815,MZMOTE_LULAB_380_500,-1.5,1.205979e-10,1.288515e-10,1.252065e-10,1279.9777,1339.9897,6000,-45.07372283935547,-7.85020112991333,-18.811003734906514,37.22352170944214,1336.2435,1291.9588,"data\HY202103\D24\20190531_151815\HY202103_D24_(-3,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-3,20190531_151815,MZMOTE_LULAB_380_500,-1.0,1.205979e-10,1.288515e-10,1.252065e-10,1279.9771,1339.988,6000,-45.03593826293945,-7.829343318939209,-18.789061855157218,37.206594944000244,1336.1208,1291.9575,"data\HY202103\D24\20190531_151815\HY202103_D24_(-3,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-3,20190531_151815,MZMOTE_LULAB_380_500,-0.5,1.205979e-10,1.288515e-10,1.252065e-10,1279.9784,1339.9904,6000,-44.96163558959961,-7.902984619140625,-18.781138374725977,37.058650970458984,1336.3408,1292.645,"data\HY202103\D24\20190531_151815\HY202103_D24_(-3,-3)_LION1_DCM_LMZO.xml"
